name,establishment_date,establishment_year,source_link,concerns,
Universite Francois Rabelais,1969,1969,https://en.wikipedia.org/wiki/Universite_Francois_Rabelais,1,
University of Mississippi,1848,1848,https://en.wikipedia.org/wiki/University_of_Mississippi,,
West Virginia University,1867,1867,https://en.wikipedia.org/wiki/West_Virginia_University,,
"Indian Institute of Technology, Kanpur",1959,1959,"https://en.wikipedia.org/wiki/Indian_Institute_of_Technology,_Kanpur",1,
Tokushima University,1949,1949,https://en.wikipedia.org/wiki/Tokushima_University,,
Universite de Bourgogne,1722[1],1722,https://en.wikipedia.org/wiki/Universite_de_Bourgogne,,
University of North Texas,1890,1890,https://en.wikipedia.org/wiki/University_of_North_Texas,,
Universite Toulouse III - Paul Sabatier,1969,1969,https://en.wikipedia.org/wiki/Paul_Sabatier_University,1,
Ohio University,1804 (state approval),1804,https://en.wikipedia.org/wiki/Ohio_University,,
Northwest Agriculture and Forestry University,20 April 1934,1934,https://en.wikipedia.org/wiki/Northwest_Agriculture_and_Forestry_University,,
Harbin Engineering University,1953,1953,https://en.wikipedia.org/wiki/Harbin_Engineering_University,1,
Southwest University,1906,1906,https://en.wikipedia.org/wiki/Southwest_University,,
University of Massachusetts Boston,"1852 Boston State College
1964 UMass Boston",1852,https://en.wikipedia.org/wiki/University_of_Massachusetts_Boston,,
University of Texas Health Science Center at San Antonio,1959,1959,https://en.wikipedia.org/wiki/University_of_Texas_Health_Science_Center_at_San_Antonio,1,
Beijing University of Technology,"October 15, 1960",1960,https://en.wikipedia.org/wiki/Beijing_University_of_Technology,1,
Innsbruck Medical University,2004,2004,https://en.wikipedia.org/wiki/Innsbruck_Medical_University,1,
Catholic University of Korea,1855,1855,https://en.wikipedia.org/wiki/Catholic_University_of_Korea,,
Donghua University,1951,1951,https://en.wikipedia.org/wiki/Donghua_University,1,
Shenzhen University,1983,1983,https://en.wikipedia.org/wiki/Shenzhen_University,1,
Zhengzhou University,1956,1956,https://en.wikipedia.org/wiki/Zhengzhou_University,1,
Universite du Quebec a Montreal,1969,1969,https://en.wikipedia.org/wiki/Universite_du_Quebec_a_Montreal,1,
University of Rostock,13 February 1419,1419,https://en.wikipedia.org/wiki/University_of_Rostock,,
Wroclaw University of Technology,"1910 (former)
1945 (current)",1910,https://en.wikipedia.org/wiki/Wroclaw_University_of_Technology,,
Utah State University,"March 8, 1888[1]",1888,https://en.wikipedia.org/wiki/Utah_State_University,,
Hefei University of Technology,1945,1945,https://en.wikipedia.org/wiki/Hefei_University_of_Technology,,
Tarbiat Modarres University,1982; 36 years ago,1982,https://en.wikipedia.org/wiki/Tarbiat_Modarres_University,1,
Ryerson University,1948,1948,https://en.wikipedia.org/wiki/Ryerson_University,,
Otto-von-Guericke University Magdeburg,1993,1993,https://en.wikipedia.org/wiki/Otto-von-Guericke_University_Magdeburg,1,
Ferdowsi University of Mashhad,1949; 69 years ago,1949,https://en.wikipedia.org/wiki/Ferdowsi_University_of_Mashhad,,
Second Military Medical University,September 1949,1949,https://en.wikipedia.org/wiki/Second_Military_Medical_University,,
Nanchang University,1921,1921,https://en.wikipedia.org/wiki/Nanchang_University,,
University of Campania Luigi Vanvitelli,1991,1991,https://en.wikipedia.org/wiki/Universit%C3%A0_degli_Studi_della_Campania_Luigi_Vanvitelli,1,
Southern Illinois University,1869,1869,https://en.wikipedia.org/wiki/Southern_Illinois_University,,
Kitasato University,1914,1914,https://www.kitasato.ac.jp/english/history/history.pdf,,the date is for parent institute
Universidade Federal de Sao Paulo,"June 1, 1933",1933,https://en.wikipedia.org/wiki/Universidade_Federal_de_Sao_Paulo,,
Universite Paris-Est,2014 (2007),,https://en.wikipedia.org/wiki/University_of_Paris-Est,1,
University of Verona,1982,1982,https://en.wikipedia.org/wiki/University_of_Verona,1,
Orta Dogu Technical University,"‘November 15, 1956",1956,https://en.wikipedia.org/wiki/Middle_East_Technical_University,1,
Hohai University,1915,1915,https://en.wikipedia.org/wiki/Hohai_University,,
University of Plymouth,"1992 – University status
1862 – School of Navigation[1][2]",1992,https://en.wikipedia.org/wiki/University_of_Plymouth,1,
"University of Nevada, Reno","October 12, 1874; 143 years ago",1874,"https://en.wikipedia.org/wiki/University_of_Nevada,_Reno",,
Universidad de Castilla-La Mancha,1982,1982,https://en.wikipedia.org/wiki/Universidad_de_Castilla-La_Mancha,1,
University of North Carolina at Charlotte,1946[1],1946,https://en.wikipedia.org/wiki/University_of_North_Carolina_at_Charlotte,,
Zhejiang University of Technology,1953,1953,https://en.wikipedia.org/wiki/Zhejiang_University_of_Technology,1,
Murdoch University,25 July 1973,1973,https://en.wikipedia.org/wiki/Murdoch_University,1,
Cranfield University,"1946, incorporated by Royal Charter and university status in 1969[2][3][4]",1946,https://en.wikipedia.org/wiki/Cranfield_University,,
University of Wroclaw,21 October 1702 (reorganised 1945),1702,https://en.wikipedia.org/wiki/University_of_Wroclaw,,
Universidad Carlos III de Madrid,1989,1989,https://en.wikipedia.org/wiki/Universidad_Carlos_III_de_Madrid,1,
Martin-Luther-Universitat Halle-Wittenberg,1502,1502,https://en.wikipedia.org/wiki/Martin-Luther-Universitat_Halle-Wittenberg,,
Universidad de Murcia,"1272 (original)
1915 (current)",1272,https://en.wikipedia.org/wiki/Universidad_de_Murcia,,
Fourth Military Medical University,1941,1941,https://en.wikipedia.org/wiki/Fourth_Military_Medical_University,,
Third Military Medical University,,,,,in chineese
"Indian Institute of Technology, Guwahati",1994[1],1994,"https://en.wikipedia.org/wiki/Indian_Institute_of_Technology,_Guwahati",1,
Loyola University Chicago,1870,1870,https://en.wikipedia.org/wiki/Loyola_University_Chicago,,
Universite de Nice-Sophia Antipolis,"‘October 23, 1965",1965,https://en.wikipedia.org/wiki/University_of_Nice_Sophia_Antipolis,1,
Universidad de Malaga,1972; 46 years ago,1972,https://en.wikipedia.org/wiki/University_of_M%C3%A1laga,1,
University of Texas Medical Branch at Galveston,1891,1891,https://en.wikipedia.org/wiki/University_of_Texas_Medical_Branch_at_Galveston,,
University of Wyoming,1886,1886,https://en.wikipedia.org/wiki/University_of_Wyoming,,
