Institution,establishment_date,source,,order,type,name,countryCode,region,sector,id,country
Philadelphia University,,,,108,application/json,Philadelphia University,usa,NAM,academic,706625,United States
Georgia Institute of Technology,,,,108,application/json,Georgia Institute of Technology,usa,NAM,academic,508072,United States
Texas Southern University,,,,109,application/json,Texas Southern University,usa,NAM,academic,508714,United States
Australian National University,,,,109,application/json,Australian National University,aus,APAC,academic,201001,Australia
University of Bonn,,,,110,application/json,University of Bonn,deu,EUR,academic,309066,Germany
Xavier University of Louisiana,,,,110,application/json,Xavier University of Louisiana,usa,NAM,academic,702502,United States
University of Texas Southwestern Medical Center,1943,https://en.wikipedia.org/wiki/University_of_Texas_Southwestern_Medical_Center,1,111,application/json,University of Texas Southwestern Medical Center,usa,NAM,academic,508803,United States
Cheongju University,,,,111,application/json,Cheongju University,kor,APAC,academic,209078,South Korea
Hochschule fur Technik und Wirtschaft Dresden,,,,112,application/json,Hochschule fur Technik und Wirtschaft Dresden,deu,EUR,academic,706279,Germany
University of Gottingen,,,,112,application/json,University of Gottingen,deu,EUR,academic,309073,Germany
Jerusalem College of Technology,,,,113,application/json,Jerusalem College of Technology,isr,MEA,academic,701135,Israel
University of Rome La Sapienza,,,,113,application/json,University of Rome La Sapienza,ita,EUR,academic,321063,Italy
Josai University,,,,114,application/json,Josai University,jpn,APAC,academic,208234,Japan
Tufts University,,,,114,application/json,Tufts University,usa,NAM,academic,508238,United States
Milwaukee School of Engineering,,,,115,application/json,Milwaukee School of Engineering,usa,NAM,academic,700659,United States
Huazhong University of Science and Technology,,,,115,application/json,Huazhong University of Science and Technology,chn,APAC,academic,203099,China
Nippon Dental University,,,,116,application/json,Nippon Dental University,jpn,APAC,academic,208114,Japan
Universite Pierre et Marie Curie,,,,116,application/json,Universite Pierre et Marie Curie,fra,EUR,academic,314089,France
Paichai University,,,,117,application/json,Paichai University,kor,APAC,academic,209116,South Korea
Fudan University,,,,117,application/json,Fudan University,chn,APAC,academic,203060,China
Universidad Complutense,,,,118,application/json,Universidad Complutense,esp,EUR,academic,312012,Spain
Tohoku Institute of Technology,,,,118,application/json,Tohoku Institute of Technology,jpn,APAC,academic,208335,Japan
Universidad de Valparaiso,,,,119,application/json,Universidad de Valparaiso,chl,SAM,academic,603015,Chile
University of Rochester,,,,119,application/json,University of Rochester,usa,NAM,academic,508335,United States
